Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Step Count
2024-11-06,Evening Workout,1h 35m,Single Arm Tricep,1,17.5,9.0,9482
2024-11-06,Evening Workout,1h 35m,Single Arm Tricep,2,17.5,6.0,9482
2024-11-06,Evening Workout,1h 35m,Lateral Raise (Cable),1,7.5,8.0,9482
2024-11-06,Evening Workout,1h 35m,Lateral Raise (Cable),2,7.5,5.0,9482
2024-11-07,Evening Workout,1h 11m,Deadlift (Barbell),1,255.0,5.0,11936
2024-11-07,Evening Workout,1h 11m,Deadlift (Barbell),2,255.0,1.0,11936
2024-11-07,Evening Workout,1h 11m,Deadlift (Barbell),3,225.0,5.0,11936
2024-11-07,Evening Workout,1h 11m,Lat Pulldown (Cable),1,60.0,7.0,11936
2024-11-07,Evening Workout,1h 11m,Lat Pulldown (Cable),2,50.0,7.0,11936
2024-11-07,Evening Workout,1h 11m,Lat Pulldown (Cable),3,50.0,5.0,11936
2024-11-07,Evening Workout,1h 11m,Low Row Machine ,1,120.0,7.0,11936
2024-11-07,Evening Workout,1h 11m,Low Row Machine ,2,110.0,6.0,11936
2024-11-07,Evening Workout,1h 11m,Low Row Machine ,3,100.0,6.0,11936
2024-11-07,Evening Workout,1h 11m,Reverse Fly (Machine),1,105.0,7.0,11936
2024-11-07,Evening Workout,1h 11m,Bayesian Cable Curl ,1,12.5,9.0,11936
2024-11-07,Evening Workout,1h 11m,Bayesian Cable Curl ,2,12.5,6.0,11936
2024-11-07,Evening Workout,1h 11m,Bicep Curl (Barbell),1,50.0,8.0,11936
2024-11-07,Evening Workout,1h 11m,Bicep Curl (Barbell),2,50.0,5.0,11936
2024-11-08,Evening Workout,41m,Squat (Barbell),1,205.0,4.0,9474
2024-11-08,Evening Workout,41m,Squat (Barbell),2,185.00000000000003,4.0,9474
2024-11-08,Evening Workout,41m,Seated Leg Press (Machine),1,210.0,11.0,9474
2024-11-08,Evening Workout,41m,Seated Leg Curl (Machine),1,110.0,5.0,9474
2024-11-08,Evening Workout,41m,Leg Extension (Machine),1,190.0,6.0,9474
2024-11-08,Evening Workout,41m,Standing Calf Raise (Smith Machine),1,140.0,25.0,9474
2024-11-08,Evening Workout,41m,Standing Calf Raise (Smith Machine),2,140.0,20.0,9474
2024-11-11,Evening Workout,39m,Bench Press (Barbell),1,160.0,4.0,9421
2024-11-11,Evening Workout,39m,Bench Press (Barbell),2,145.0,6.0,9421
2024-11-11,Evening Workout,39m,Incline Bench Press (Barbell),1,105.0,6.0,9421
2024-11-11,Evening Workout,39m,Incline Bench Press (Barbell),2,95.0,8.0,9421
2024-11-11,Evening Workout,39m,Seated Dip,1,140.0,9.0,9421
2024-11-11,Evening Workout,39m,Seated Dip,2,130.0,12.0,9421
2024-11-11,Evening Workout,39m,Overhead Tricep,1,32.5,7.0,9421
2024-11-11,Evening Workout,39m,Overhead Tricep,2,27.5,9.0,9421
2024-11-11,Evening Workout,39m,Lateral Raise (Cable),1,7.5,9.0,9421
2024-11-11,Evening Workout,39m,Lateral Raise (Cable),2,7.5,6.0,9421
2024-11-12,Evening Workout,1h 26m,Deadlift (Barbell),1,265.0,2.0,6953
2024-11-12,Evening Workout,1h 26m,Deadlift (Barbell),2,245.00000000000003,3.0,6953
2024-11-12,Evening Workout,1h 26m,Deadlift (Barbell),3,225.0,4.0,6953
2024-11-12,Evening Workout,1h 26m,Low Row Machine ,1,125.0,9.0,6953
2024-11-12,Evening Workout,1h 26m,Low Row Machine ,2,125.0,7.0,6953
