Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Step Count
2024-12-09,Evening Workout,1h 19m,Incline Bench Press (Barbell),2,105.0,8.0,7922
2024-12-09,Evening Workout,1h 19m,Incline Bench Press (Barbell),3,105.0,5.0,7922
2024-12-09,Evening Workout,1h 19m,Chest Fly,1,145.0,8.0,7922
2024-12-09,Evening Workout,1h 19m,Chest Fly,2,145.0,4.0,7922
2024-12-09,Evening Workout,1h 19m,Chest Fly,3,120.0,4.0,7922
2024-12-09,Evening Workout,1h 19m,Seated Dip,1,170.0,8.0,7922
2024-12-09,Evening Workout,1h 19m,Seated Dip,2,170.0,6.0,7922
2024-12-09,Evening Workout,1h 19m,Seated Dip,3,140.0,10.0,7922
2024-12-09,Evening Workout,1h 19m,Overhead Tricep,1,42.5,6.0,7922
2024-12-09,Evening Workout,1h 19m,Overhead Tricep,2,37.49999999999999,6.0,7922
2024-12-09,Evening Workout,1h 19m,Overhead Tricep,3,32.5,7.0,7922
2024-12-09,Evening Workout,1h 19m,Lateral Raise (Cable),1,12.5,5.0,7922
2024-12-09,Evening Workout,1h 19m,Lateral Raise (Cable),2,10.0,8.0,7922
2024-12-09,Evening Workout,1h 19m,Lateral Raise (Cable),3,10.0,4.0,7922
2024-12-10,Evening Workout,48h 49m,Lat Pulldown (Cable),1,70.0,4.0,6906
2024-12-10,Evening Workout,48h 49m,Lat Pulldown (Cable),2,60.0,9.0,6906
2024-12-10,Evening Workout,48h 49m,Lat Pulldown (Cable),3,50.0,8.0,6906
2024-12-10,Evening Workout,48h 49m,Low Row Machine ,1,140.0,6.0,6906
2024-12-10,Evening Workout,48h 49m,Low Row Machine ,2,130.0,8.0,6906
2024-12-10,Evening Workout,48h 49m,Low Row Machine ,3,130.0,5.0,6906
2024-12-10,Evening Workout,48h 49m,Single Arm Reverse Fly,1,60.0,7.0,6906
2024-12-10,Evening Workout,48h 49m,Single Arm Reverse Fly,2,50.0,13.0,6906
2024-12-10,Evening Workout,48h 49m,Bayesian Cable Curl ,1,27.5,4.0,6906
2024-12-10,Evening Workout,48h 49m,Bayesian Cable Curl ,2,22.5,7.0,6906
2024-12-10,Evening Workout,48h 49m,Bayesian Cable Curl ,3,22.5,6.0,6906
2024-12-10,Evening Workout,48h 49m,Preacher Curl (Machine),1,60.0,12.0,6906
2024-12-12,Evening Workout,2h 32m,Squat (Barbell),1,225.0,2.0,9358
2024-12-12,Evening Workout,2h 32m,Squat (Barbell),2,215.0,3.0,9358
2024-12-12,Evening Workout,2h 32m,Squat (Barbell),3,185.00000000000003,5.0,9358
2024-12-12,Evening Workout,2h 32m,Seated Leg Press (Machine),1,240.0,6.0,9358
2024-12-12,Evening Workout,2h 32m,Seated Leg Press (Machine),2,235.0,5.0,9358
2024-12-12,Evening Workout,2h 32m,Seated Leg Press (Machine),3,210.0,7.0,9358
2024-12-12,Evening Workout,2h 32m,Seated Leg Curl (Machine),1,115.0,7.0,9358
2024-12-12,Evening Workout,2h 32m,Seated Leg Curl (Machine),2,100.0,11.0,9358
2024-12-12,Evening Workout,2h 32m,Seated Leg Curl (Machine),3,100.0,6.0,9358
2024-12-12,Evening Workout,2h 32m,Leg Extension (Machine),1,195.0,10.0,9358
2024-12-12,Evening Workout,2h 32m,Leg Extension (Machine),2,195.0,6.0,9358
2024-12-12,Evening Workout,2h 32m,Leg Extension (Machine),3,185.00000000000003,6.0,9358
2024-12-17,Evening Workout,25m,Squat (Barbell),1,225.0,3.0,4372
2024-12-17,Evening Workout,25m,Squat (Barbell),2,205.0,3.0,4372
2024-12-17,Evening Workout,25m,Squat (Barbell),3,185.00000000000003,5.0,4372
2024-12-18,Afternoon Workout,71h 52m,Bench Press (Barbell),1,155.0,5.0,4102
2024-12-18,Afternoon Workout,71h 52m,Bench Press (Barbell),2,145.0,7.0,4102
2024-12-21,Afternoon Workout,9m,Squat (Barbell),1,225.0,4.0,3770
2024-12-21,Afternoon Workout,9m,Squat (Barbell),2,205.0,4.0,3770
2024-12-26,Evening Workout,53m,Bench Press (Barbell),1,155.0,7.0,3841
2024-12-26,Evening Workout,53m,Bench Press (Barbell),2,145.0,8.0,3841
2024-12-26,Evening Workout,53m,Incline Bench Press (Dumbbell),1,50.0,6.0,3841
